UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA
AC,MARECHAL THAUMATURGO,109181.8671875,14275,7648.47021484
AC,SENADOR GUIOMARD,217153.859375,19697,11024.71972656
AC,ASSIS BRASIL,48347.30078125,5662,8538.91015625
AC,EPITACIOLÂNDIA,129641.09375,14224,9114.25
AC,MANOEL URBANO,61478.73046875,7505,8191.70019531
AC,TARAUACÁ,258505.0625,33883,7629.33984375
AC,MÂNCIO LIMA,103294.7421875,14774,6991.66015625
AC,PLÁCIDO DE CASTRO,204410.5625,18235,11209.79003906
AC,SANTA ROSA DO PURUS,28091.17382812,4358,6445.89013672
AC,CRUZEIRO DO SUL,684349.25,77004,8887.19042969
AC,FEIJÓ,239317.046875,32261,7418.14990234
AC,SENA MADUREIRA,371556.0625,36166,10273.62988281
AC,CAPIXABA,89052.6796875,9287,9588.95996094
AC,RIO BRANCO,3837370.75,305954,12542.30957031
AC,BRASILÉIA,194979.828125,20238,9634.33984375
AC,ACRELÂNDIA,151120.015625,12241,12345.40039062
AC,PORTO ACRE,160340.78125,14682,10920.91015625
AC,BUJARI,88708.03125,6772,13099.24023438
AC,PORTO WALTER,64432.35546875,8855,7276.37988281
AC,RODRIGUES ALVES,153169.609375,13460,11379.61035156
AC,XAPURI,150262.34375,15079,9965.00976562
AC,JORDÃO,41673.13671875,6520,6391.58984375
AL,DOIS RIACHOS,35078.25390625,11200,3131.98999023
AL,BELÉM,19550.015625,5083,3846.15991211
AL,SANTANA DO MUNDAÚ,52134.53515625,12039,4330.47021484
AL,CAMPO ALEGRE,182361.03125,47209,3862.84008789
AL,PASSO DE CAMARAGIBE,59784.6875,14261,4192.18017578
AL,MARECHAL DEODORO,620477.5,47623,13028.95019531
AL,SÃO MIGUEL DOS MILAGRES,29789.48828125,7601,3919.14990234
AL,OLHO D'ÁGUA DO CASADO,27759.3671875,8517,3259.29003906
AL,PAULO JACINTO,24402.88085938,7772,3139.85009766
AL,PILAR,174139.0625,32655,5332.68994141
AL,CACIMBINHAS,39280.7421875,10182,3857.86010742
AL,JACUÍPE,29361.71679688,7045,4167.74023438
AL,MINADOR DO NEGRÃO,22713.8515625,5292,4292.10986328
AL,ANADIA,72170.7265625,17740,4068.25
AL,SENADOR RUI PALMEIRA,35231.92578125,13110,2687.40991211
AL,PARICONHA,32510.77148438,10539,3084.81005859
AL,MATA GRANDE,70679.9765625,25309,2792.67993164
AL,MESSIAS,62115.51171875,15899,3906.87988281
AL,TAQUARANA,67490.1875,18848,3580.76000977
AL,TEOTÔNIO VILELA,186967.0625,41935,4458.5
AL,CANAPI,53345.25390625,18397,2899.66992188
AL,OLHO D'ÁGUA GRANDE,16447.203125,4963,3313.95996094
AL,BRANQUINHA,42036.96875,12215,3441.41992188
AL,MAJOR ISIDORO,73942.796875,19530,3786.11010742
AL,COLÔNIA LEOPOLDINA,106579.5234375,20181,5281.18017578
AL,CORURIPE,463296.53125,53369,8681
AL,NOVO LINO,47015875,12449,3776.67993164
AL,ÁGUA BRANCA,59232.4921875,19989,2963.25
AL,PALMEIRA DOS ÍNDIOS,358377.4375,72564,4938.77978516
AL,BATALHA,66246.3359375,16919,3915.5
AL,IBATEGUARA,56599.32421875,15863,3568.01000977
AL,UNIÃO DOS PALMARES,400757.65625,62727,6388.91992188
AL,OURO BRANCO,32711.80273438,11504,2843.52001953
AL,JUNQUEIRO,98153.7734375,25290,3881.12988281
AL,SÃO BRÁS,27549.03125,7062,3901.02001953
AL,TRAIPU,68499.6875,25854,2649.47998047
AL,CAMPESTRE,25780.65820312,6178,4172.97998047
AL,JACARÉ DOS HOMENS,30879.77734375,5902,5232.08984375
AL,OLIVENÇA,33409.52734375,10865,3074.9699707
AL,BARRA DE SANTO ANTÔNIO,53292.31640625,14435,3691.87988281
AL,BOCA DA MATA,152409.21875,26030,5855.14013672
AL,PORTO CALVO,131020.25,26044,5030.72998047
AL,LAGOA DA CANOA,60461.83984375,18196,3322.81005859
AL,CAJUEIRO,77771.0703125,20825,3734.51000977
AL,SATUBA,56080.00390625,14779,3794.57006836
AL,SÃO SEBASTIÃO,123021.7890625,32181,3822.81005859
AL,MARAGOGI,115097.2109375,26978,4266.33984375
AL,MARIBONDO,55018.47265625,14144,3889.87988281
AL,INHAPI,49013.73046875,18166,2698.10009766
AL,DELMIRO GOUVEIA,276627.6875,48462,5708.14013672
AL,PORTO DE PEDRAS,37205.45703125,10649,3493.80004883
AL,SANTA LUZIA DO NORTE,53447.09765625,7572,7058.52001953
AL,FLEXEIRAS,45588.03125,12290,3709.36010742
AL,ROTEIRO,38793.6640625,6864,5651.75976562
AL,JUNDIÁ,21836.53515625,4698,4648.04980469
AL,TANQUE D'ARCA,18489.390625,5766,3206.62011719
AL,ARAPIRACA,1658976875,210521,7880.33984375
AL,OLHO D'ÁGUA DAS FLORES,70390.265625,20555,3424.47998047
AL,VIÇOSA,95608.140625,26830,3563.47998047
AL,MARAVILHA,33863.60546875,10110,3349.52001953
AL,PÃO DE AÇÚCAR,85304.7265625,24534,3477
AL,GIRAU DO PONCIANO,111610.8828125,36904,3024.36010742
AL,CHÃ PRETA,26925.03125,7073,3806.72998047
AL,MONTEIRÓPOLIS,22985.1328125,7292,3152.10009766
AL,PALESTINA,15465.23339844,5071,3049.73999023
AL,CAPELA,73067.953125,17366,4207.52978516
AL,FELIZ DESERTO,34067.5078125,4568,7457.85986328
AL,SÃO LUÍS DO QUITUNDE,179677.546875,32871,5466.14013672
AL,PIRANHAS,73379.25,25107,2922.65991211
AL,SÃO JOSÉ DA TAPERA,85124.4453125,31361,2714.34008789
AL,MATRIZ DE CAMARAGIBE,102110.5078125,25493,4005.42993164
AL,ATALAIA,208935.734375,53023,3940.4699707
AL,QUEBRANGULO,43188.9765625,11566,3734.12988281
AL,JOAQUIM GOMES,67053.9296875,22436,2988.67993164
AL,LIMOEIRO DE ANADIA,74192875,26415,2808.73999023
AL,BARRA DE SÃO MIGUEL,47460.00390625,7572,6267.83007812
AL,JAPARATINGA,30499.59179688,7763,3928.84008789
AL,ESTRELA DE ALAGOAS,48915.7578125,17251,2835.5300293
AL,POÇO DAS TRINCHEIRAS,36296.9296875,12463,2912.37011719
AL,PORTO REAL DO COLÉGIO,59886.03515625,18453,3245.33007812
AL,JEQUIÁ DA PRAIA,108508.890625,11615,9342.12988281
AL,RIO LARGO,364321.25,67797,5373.70996094
AL,PIAÇABUÇU,66745.765625,18087,3690.26000977
AL,MACEIÓ,10264218,936314,10962.37011719
AL,COITÉ DO NÓIA,31372.484375,11127,2819.48999023
AL,CRAÍBAS,73514.7890625,23294,3155.94995117
AL,BELO MONTE,30603.25585938,7510,4075
AL,COQUEIRO SECO,19754.61328125,5525,3575.5
AL,MAR VERMELHO,15055.91699219,4131,3644.62011719
AL,JARAMATAIA,23547.14648438,6140,3835.04003906
AL,FEIRA GRANDE,67006.5546875,21824,3070.32006836
AL,SÃO MIGUEL DOS CAMPOS,524210.28125,54064,9696.11035156
AL,PARIPUEIRA,44169.84765625,10222,4321.06005859
AL,IGACI,81381.578125,25865,3146.39990234
AL,CARNEIROS,24778.15429688,8463,2927.82006836
AL,CAMPO GRANDE,32337.46289062,9909,3263.43994141
AL,PENEDO,313189.03125,61082,5127.35009766
AL,IGREJA NOVA,129697.7734375,23807,5447.87988281
AL,SANTANA DO IPANEMA,193882.71875,43699,4436.77978516
AL,MURICI,109038.859375,26918,4050.7800293
AL,SÃO JOSÉ DA LAJE,147755.59375,23112,6393.02001953
AL,PINDOBA,14839.16210938,3246,4571.52001953
AP,ITAUBAL,32050.08203125,3650,8780.83984375
AP,PRACUÚBA,32157.5078125,3658,8791.00976562
AP,VITÓRIA DO JARI,99332.9140625,11519,8623.40039062
AP,CALÇOENE,107248.828125,9291,11543.29980469
AP,PEDRA BRANCA DO AMAPARI,104478.9921875,8182,12769.37011719
AP,OIAPOQUE,230480.78125,20962,10995.16992188
AP,AMAPÁ,81456.1328125,7802,10440.41992188
AP,PORTO GRANDE,144603.140625,14951,9671.79980469
AP,MAZAGÃO,114913.046875,14655,7841.22021484
AP,LARANJAL DO JARI,323042.5,40357,8004.62011719
AP,SANTANA,1104524875,97220,11361.08984375
AP,CUTIAS,50685.06640625,4652,10895.33007812
AP,SERRA DO NAVIO,109795.296875,3982,27572.90039062
AP,FERREIRA GOMES,69937.7265625,5475,12774.00976562
AP,TARTARUGALZINHO,119988.0234375,13769,8714.36035156
AP,MACAPÁ,4679694,366484,12769.16015625
AM,ENVIRA,69843.03125,17614,3965.19995117
AM,NOVA OLINDA DO NORTE,108783.34375,31012,3507.7800293
AM,MANAUS,40486108,1738641,23286.06054688
AM,RIO PRETO DA EVA,216235.546875,26847,8054.37011719
AM,COARI,1103350125,66991,16470.11914062
AM,APUÍ,146993.34375,18597,7904.14013672
AM,URUCARÁ,69487.6171875,15780,4403.52001953
AM,AUTAZES,136269.859375,31774,4288.72021484
AM,ANAMÃ,41735.99609375,8673,4812.18017578
AM,NOVO AIRÃO,61709.34765625,15915,3877.42993164
AM,ITAMARATI,36895.9296875,8281,4455.49023438
AM,BENJAMIN CONSTANT,116750.1015625,31195,3742.59008789
AM,TABATINGA,202660.984375,47948,4226.68017578
AM,CODAJÁS,84273.59375,16291,5173.02001953
AM,TONANTINS,67153.0078125,20286,3310.31005859
AM,BOCA DO ACRE,149755.40625,31221,4796.62011719
AM,EIRUNEPÉ,123005.4375,30901,3980.62988281
AM,MANAQUIRI,82990.75,20836,3983.05004883
AM,TEFÉ,293563.5,64671,4539.33984375
AM,NHAMUNDÁ,86443.9765625,18474,4679.22021484
AM,IRANDUBA,188022.75,33884,5549.00976562
AM,BOA VISTA DO RAMOS,53763.04296875,13994,3841.86010742
AM,ITACOATIARA,919967375,89440,10285.86035156
AM,ALVARÃES,53516.7578125,13566,3944.91992188
AM,BORBA,119983.046875,32496,3692.23999023
AM,AMATURÁ,34505.6796875,8828,3908.65991211
AM,GUAJARÁ,63766.28515625,15031,4242.31982422
AM,CAREIRO DA VÁRZEA,112120.0625,24704,4538.54003906
AM,ATALAIA DO NORTE,54603.19140625,14715,3710.7199707
AM,URUCURITUBA,67527.9609375,18541,3642.09008789
AM,NOVO ARIPUANÃ,85700.7265625,18952,4521.99023438
AM,PRESIDENTE FIGUEIREDO,304599375,26282,11589.66015625
AM,CAREIRO,117802.6171875,32638,3609.37011719
AM,JURUÁ,40090.02734375,9275,4322.37011719
AM,MAUÉS,226922.828125,49666,4568.97998047
AM,PAUINI,69596.59375,19111,3641.69995117
AM,TAPAUÁ,87235.609375,19884,4387.22998047
AM,FONTE BOA,115856.546875,18803,6161.60009766
AM,SÃO PAULO DE OLIVENÇA,109349.2890625,32958,3317.84008789
AM,MARAÃ,109074.7265625,18135,6014.60009766
AM,ITAPIRANGA,37870.4453125,9733,3890.92993164
AM,CAAPIRANGA,45974.66015625,11170,4115.91015625
AM,CANUTAMA,49871.54296875,11948,4174.04980469
